Game Name,UsesFromPositions,SiteState,Count,HiddenInfo,Stacking,Boardless,Stochastic,DeductionPuzzle,Score,Visited,Simultaneous,ThreeDimensions,NotAllPass,Card,LargePiece,SequenceCapture,Track,Rotation,Team,Bet,HashScores,HashAmounts,HashPhases,Graph,Vertex,Cell,Edge,Dominoes,LineOfPlay,MoveAgain,NotMarkovGame,Vote,Note,Loops,StepAdjacentDistance,StepOrthogonalDistance,StepDiagonalDistance,StepOffDistance,StepAllDistance,InternalLoopInTrack,UsesSwapRule,RepeatInGame,RepeatInTurn
Muvalavala (Luena),Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Owela (Benguela),Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Abalala'e,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Ako Okwe,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Alitev,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Aw-li On-nam Ot-tjin,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Bosh,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Chungcajon,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,
Dabuda,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Das Bohnenspiel,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
En Gehe,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
English Wari (St. Lucia),Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
French Wari,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Halusa,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
J'odu,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,
Kalah,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,
Kapana Bona,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Kara,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Mangala (Turkey),Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Mankala,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Mbangbi,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Meusueb,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,
Oware,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,,,Yes,,,,,,,,,,,
Pachgarhwa,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Sungka,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,
Toguz Kumalak,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Um el Tuweisat,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Um el-Bagara,Yes,,Yes,,,,,,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Unnee Tugalluulax,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Vai Lung Thlan,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Waurie,Yes,,Yes,,,,,,,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,
Woli,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,
Wore,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Wouri,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Yovodji,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,Yes,,,,,,,,,,,
Amazons,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Blue Nile,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Cram,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Do Guti,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Domineering,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Dorvon Cag,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
French Military Game,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Gala,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Gurvan Xudag,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Haretavl,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Hex Amazons,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Ho-Bag Gonu,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Janes Soppi,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Koti Keliya,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
L Game,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
