,Cluster1.1,Cluster1.2,Cluster1.3,Cluster1.4,Cluster1.5,Cluster1.6,Cluster2.1,Cluster2.2,Cluster2.3,Cluster2.4,Cluster2.5,Cluster2.6,Cluster2.7,Cluster2.8,Cluster3.1,Cluster3.2,Cluster3.3,Cluster3.4,Cluster3.5,Cluster3.6,Cluster3.7,Cluster3.8,Cluster3.9,Cluster3.10,Cluster3.11,Cluster3.12,Cluster4
PiecesPlacedOnBoard,100.0,92.0,100.0,98.63013698630137,100.0,100.0,75.0,91.42857142857143,37.142857142857146,100.0,55.55555555555556,0.0,87.5,66.66666666666667,0.0,12.5,60.0,46.15384615384615,92.85714285714286,100.0,100.0,100.0,92.85714285714286,15.0,14.285714285714286,100.0,98.50746268656717
PiecesPlacedOutsideBoard,0.0,10.0,0.0,5.47945205479452,0.0,0.0,25.0,11.428571428571429,68.57142857142857,0.0,33.333333333333336,100.0,25.0,33.333333333333336,97.29729729729729,84.375,50.0,84.61538461538461,100.0,0.0,4.166666666666667,0.0,14.285714285714286,100.0,42.857142857142854,24.0,4.477611940298507
InitialRandomPlacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InitialScore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InitialAmount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InitialPot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InitialCost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Play,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Moves,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MovesDecision,39.6551724137931,96.0,19.565217391304348,43.83561643835616,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NoSiteMoves,5.172413793103448,18.0,13.043478260869565,13.698630136986301,0.0,0.0,5.0,14.285714285714286,17.142857142857142,44.44444444444444,66.66666666666667,75.0,87.5,16.666666666666668,0.0,0.0,0.0,0.0,7.142857142857143,26.666666666666668,41.666666666666664,24.137931034482758,0.0,25.0,28.571428571428573,24.0,7.462686567164179
BetDecision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.492537313432836
VoteDecision,5.172413793103448,0.0,6.521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SwapPlayersDecision,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChooseTrumpSuitDecision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PassDecision,0.0,18.0,6.521739130434782,13.698630136986301,0.0,0.0,5.0,14.285714285714286,17.142857142857142,44.44444444444444,66.66666666666667,75.0,87.5,16.666666666666668,0.0,0.0,0.0,0.0,7.142857142857143,26.666666666666668,41.666666666666664,24.137931034482758,0.0,25.0,28.571428571428573,24.0,5.970149253731344
