Game,Ruleset,GameRuleset,Top Agent,Top Score
Andada,Ruleset/Kunama (Described),Andada-,AlphaBeta,86.0
Andot,,Andot-,MAST,74.5
Aw-li On-nam Ot-tjin,Ruleset/Two Counters (Observed),Aw-li_On-nam_Ot-tjin-Two_Counters,MAST,81.0
Aw-li On-nam Ot-tjin,Ruleset/Three Counters (Observed),Aw-li_On-nam_Ot-tjin-Three_Counters,MAST,96.0
Aw-li On-nam Ot-tjin,Ruleset/Four Counters (Observed),Aw-li_On-nam_Ot-tjin-Four_Counters,MAST,95.0
Aw-li On-nam Ot-tjin,Ruleset/Five Counters (Observed),Aw-li_On-nam_Ot-tjin-Five_Counters,AlphaBeta,90.0
Awari,,Awari-,UCT,79.0
Baqura,,Baqura-,MAST,71.5
Bosh,,Bosh-,MAST,77.5
Boukerourou,,Boukerourou-,AlphaBeta,71.0
Chongka',,Chongka-,AlphaBeta,71.0
Chungcajon,,Chungcajon-,AlphaBeta,80.5
Dabuda,Ruleset/Afar (Observed),Dabuda-Afar,MAST,78.0
Dabuda,Ruleset/Damohoita (Observed),Dabuda-Damohoita,MAST,84.5
Das Bohnenspiel,,Das_Bohnenspiel-,MAST,83.5
Duene,,Duene-,MAST,73.5
En Gehe,Ruleset/Merker (Observed),En_Gehe-,AlphaBeta,73.5
English Wari (St. Lucia),,English_Wari_St._Lucia-,AlphaBeta,97.0
Enindji,,Enindji-,MAST,75.0
French Wari,,French_Wari-,UCT,75.0
Galatjang,,Galatjang-,AlphaBeta,92.5
Halusa,,Halusa-,MAST,76.0
Hoyito,Ruleset/Hoyito I (Described),Hoyito-,MAST,88.5
I,Ruleset/I (Observed),I-,AlphaBeta,81.0
Intotoi,,Intotoi-,MAST,82.0
J'odu,,Jodu-,MAST,73.0
Kalah,,Kalah-,AlphaBeta,95.0
Kanji Guti,,Kanji_Guti-,AlphaBeta,50.0
Kapana Bona,,Kapana_Bona-,UCT,69.5
Kara,,Kara-,UCT,82.5
Kpo,Ruleset/Momolu Massaquoi (Observed),Kpo-Momolu_Massaquoi,MAST,91.5625
Kpo,Ruleset/Three players (Observed),Kpo-Three_players,MAST,74.07407407407405
Kpo,Ruleset/Four players (Described),Kpo-Four_players,UCT,68.9583333333333
Mangala (Turkey),Ruleset/Seven Holes (Observed),Mangala_Turkey-Seven_Holes,MAST,78.5
Mangala (Turkey),Ruleset/Six Holes (Observed),Mangala_Turkey-Six_Holes,MAST,80.0
Mankala,,Mankala-,MAST,79.5
Meusueb,,Meusueb-,AlphaBeta,89.5
Oure Ngat,,Oure_Ngat-,AlphaBeta,50.0
Oware,Ruleset/Wari (Observed),Oware-Wari,AlphaBeta,90.0
Oware,Ruleset/Awari (Suggested),Oware-Awari,AlphaBeta,100.0
Pachgarhwa,,Pachgarhwa-,AlphaBeta,61.0
Sungka,,Sungka-,AlphaBeta,95.0
Tap Urdy,,Tap_Urdy-,ProgressiveHistory,86.5
Tapata,,Tapata-,MAST,87.0
Toguz Kumalak,,Toguz_Kumalak-,AlphaBeta,92.0
Um el Tuweisat,,Um_el_Tuweisat-,UCT,71.5
Um el-Bagara,,Um_el-Bagara-,AlphaBeta,79.0
Unnee Tugalluulax,Ruleset/Popova (Scholarly),Unnee_Tugalluulax-Popova,AlphaBeta,85.5
Unnee Tugalluulax,Ruleset/Mancala World (Suggested),Unnee_Tugalluulax-Mancala_World,AlphaBeta,86.0
Uril,,Uril-,AlphaBeta,99.0
Vai Lung Thlan,,Vai_Lung_Thlan-,UCT,87.5
Waurie,,Waurie-,UCT,81.0
Woli,,Woli-,AlphaBeta,95.5
Wore,,Wore-,UCT,76.0
